op,meanW,stdW,deltaF_eq,deltaF_info_full,deltaF_macro,deltaF_intra,deltaF_total,W_diss,eps_or_meas_error,pR_init,pR_final,deltaF_logical_eps,jarzynski_diag_deltaF,MI_bits,accuracy,sagawa_bound,sagawa_ok,write_c_analytic,write_c_refined,write_calib_status
Create,1.6066983938217163,1.4833699464797974,0.0,-0.03731923887525168,-0.045627826651325365,0.008308587776073635,-0.03731923887525168,1.644017632696968,0.0078,0.0,0.9922000000000001,0.6475193539086198,-0.2893238067626953,,,,,4.21875,2.774658203125,converged
Update,1.5988974571228027,1.4573906660079956,0.0,0.6561278968975552,0.647004996846654,0.009122900050901463,0.6561278968975552,0.9427695602252475,0.0079,0.49609999999999993,0.9921,0.6470354171551203,0.19989252090454102,,,,,4.21875,2.774658203125,converged
Delete,1.6202694177627563,1.4461259841918945,0.0,0.6744814926179846,0.662651468002654,0.011830024615330491,0.6744814926179846,0.9457879251447717,0.0048,0.49369999999999997,0.0048,0.6627308501031821,0.3285369873046875,,,,,4.21875,2.774658203125,converged
Read,1.6721417903900146,1.9164694547653198,0.0,0.0,0.0,0.0,0.0,1.6721417903900146,0.2087,,,,-0.03531646728515625,0.41843496233455485,0.7913,-0.2900370143899036,True,4.21875,2.774658203125,converged
