b,T,B_eff,B_over_kT,error_rate,crossing_rate,mean_drift,event_cost,flux_cost,maintain_cost,is_flux_driven
0.5,0.3,0.0625,0.20833333,0.0092,0.0065408,0.2288395951129496,0.000575,0.06865187853388488,0.06865187853388488,True
0.5,0.5444444444444445,0.0625,0.11479592,0.0374616,0.0109168,0.31709807036072013,0.00234135,0.17264228275194765,0.17264228275194765,True
0.5,0.788888888888889,0.0625,0.079225354,0.0620248,0.0137024,0.3718570537939668,0.00387655,0.29335389799301825,0.29335389799301825,True
0.5,1.0333333333333334,0.0625,0.060483873,0.082452,0.015388,0.41651132172346117,0.00515325,0.4303950324475766,0.4303950324475766,True
0.5,1.277777777777778,0.0625,0.048913043,0.097528,0.0178296,0.45115506400913,0.0060955,0.5764759151227773,0.5764759151227773,True
0.5,1.5222222222222224,0.0625,0.04105839,0.1131688,0.0184232,0.48249994560331105,0.00707305,0.7344721394183735,0.7344721394183735,True
0.5,1.7666666666666668,0.0625,0.03537736,0.1310176,0.0200224,0.513397141084075,0.0081886,0.9070016159151992,0.9070016159151992,True
0.5,2.011111111111111,0.0625,0.03107735,0.1392448,0.0206648,0.5303744037151337,0.0087028,1.0666418563604354,1.0666418563604354,True
0.5,2.2555555555555555,0.0625,0.02770936,0.1535504,0.021928,0.559496513068676,0.0095969,1.2619754683660136,1.2619754683660136,True
0.5,2.5,0.0625,0.025,0.1625048,0.0232656,0.5771492913886904,0.01015655,1.442873228471726,1.442873228471726,True
0.8181818181818181,0.3,0.16735537,0.55785125,0.0031336,0.0035728,0.21408860093727708,0.00052442483,0.06422658028118312,0.06422658028118312,True
0.8181818181818181,0.5444444444444445,0.16735537,0.30738744,0.021168,0.0070672,0.29164907451719047,0.0035425783,0.15878671834824817,0.15878671834824817,True
0.8181818181818181,0.788888888888889,0.16735537,0.21214062,0.0426256,0.0101344,0.35732823314517737,0.007133623,0.28189227281452883,0.28189227281452883,True
0.8181818181818181,1.0333333333333334,0.16735537,0.16195682,0.0587248,0.0123208,0.4018998845368624,0.009827911,0.41529654735475785,0.41529654735475785,True
0.8181818181818181,1.277777777777778,0.16735537,0.13097377,0.0777464,0.0142112,0.4467517898306251,0.013011278,0.570849509228021,0.570849509228021,True
0.8181818181818181,1.5222222222222224,0.16735537,0.109941475,0.09164,0.0150696,0.47577358745783566,0.015336447,0.7242331275747055,0.7242331275747055,True
0.8181818181818181,1.7666666666666668,0.16735537,0.09472946,0.1099072,0.0170112,0.5136353837326169,0.018393561,0.9074225112609565,0.9074225112609565,True
