Operation,Mean_Work,Std_Work,Ratio_to_Landauer
Create,-1.0659935474395752,0.48322343826293945,-1.5379035
Delete,1.5248287916183472,0.6821710467338562,2.199863
Update,0.16099733114242554,1.1786099672317505,0.23227005
Maintain,12.46,0.000623,N/A
